Name,Error,Memory,Time,Language,OS
apache2,2.235941309108563e-08,0.0044708251953125,131.75052857398987,1,0
cfd1,6.628463220213457e-12,0.003326416015625,6.205471515655518,1,0
cfd2,1.3341607203624653e-10,0.003326416015625,14.834671020507812,1,0
ex15,5.281170158918629e-05,0.003326416015625,0.019425392150878906,1,0
apache2,2.235941309108563e-08,131.38675022125244,63.69957232475281,1,1
cfd2,1.3341607203624653e-10,0.003326416015625,10.361452102661133,1,1
shallow_water1,6.923992032066916e-14,0.003326416015625,0.5978055000305176,1,1
cfd1,6.628463220213457e-12,49.46657085418701,4.214169502258301,1,1
ex15,5.281170158918629e-05,2.664623260498047,0.013707876205444336,1,1
parabolic_fem,8.836779374701421e-10,0.003326416015625,6.075251817703247,1,1
G3_circuit,3.452567931743837e-09,0.003326416015625,26.651739358901978,1,1
